name,link,price,year,mileage,miles_pa,owners,distance,location,engine,transmission,fuel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402166653291?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=11&postcode=E1%206AN&advertising-location=at_cars&fromsra,4000,2009.0,100000.0,6666,-1,101,Birmingham,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403197729833?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=2&postcode=E1%206AN&advertising-location=at_cars&fromsra,4395,2013.0,92000.0,8363,6,3,London,1.6L,Automatic,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403278014307?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=2&postcode=E1%206AN&advertising-location=at_cars&fromsra,4450,2009.0,100000.0,6666,-1,27,London,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403308128129?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=8&postcode=E1%206AN&advertising-location=at_cars&fromsra,4450,2009.0,55698.0,3713,2,164,Huddersfield,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403017119937?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_cars&fromsra,4480,2009.0,43500.0,2900,-1,20,Slough,1.6L,Manual,Petrol
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403057246537?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=3&postcode=E1%206AN&advertising-location=at_cars&fromsra,4495,2013.0,101000.0,9181,-1,23,Addlestone,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403137534482?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_cars&fromsra,4495,2011.0,38000.0,2923,-1,23,Addlestone,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202401155577333?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=11&postcode=E1%206AN&advertising-location=at_cars&fromsra,4620,2016.0,148831.0,18603,2,29,Chelmsford,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202401255889831?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=12&postcode=E1%206AN&advertising-location=at_cars&fromsra,4695,2011.0,113000.0,8692,2,36,Maldon,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403127470402?sort=relevance&twcs=true&include-delivery-option=on&make=Citroen&model=Berlingo&page=16&postcode=E1%206AN&advertising-location=at_cars&fromsra,4790,2009.0,88790.0,5919,-1,182,Burnley,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202401296014229?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=4&postcode=E1%206AN&advertising-location=at_cars&fromsra,4895,2009.0,56633.0,3775,-1,20,Welwyn Garden City,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403077308351?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=2&postcode=E1%206AN&advertising-location=at_cars&fromsra,4990,2010.0,112000.0,8000,-1,50,Milton Keynes,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202309232285212?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=7&postcode=E1%206AN&advertising-location=at_cars&fromsra,4995,2005.0,97000.0,5105,8,109,Kidderminster,1.4L,Manual,Petrol
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403267997348?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=13&postcode=E1%206AN&advertising-location=at_cars&fromsra,4995,2015.0,148000.0,16444,3,105,Radstock,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403117446252?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=9&postcode=E1%206AN&advertising-location=at_cars&fromsra,4995,2012.0,112000.0,9333,2,161,Wakefield,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402056241539?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=2&postcode=E1%206AN&advertising-location=at_cars&fromsra,5232,2010.0,69276.0,4948,2,28,Tonbridge,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403187706141?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=9&postcode=E1%206AN&advertising-location=at_cars&fromsra,5250,2011.0,89000.0,6846,1,153,Stockport,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403227852959?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=47&postcode=E1%206AN&advertising-location=at_cars&fromsra,5250,2013.0,115000.0,10454,5,59,Canterbury,1.6L,Automatic,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403207772712?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=4&postcode=E1%206AN&advertising-location=at_cars&fromsra,5394,2011.0,79932.0,6148,3,53,Cambridge,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403288052102?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=4&postcode=E1%206AN&advertising-location=at_cars&fromsra,5475,2014.0,116831.0,11683,2,24,Stanford Le Hope,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403077319791?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=5&postcode=E1%206AN&advertising-location=at_cars&fromsra,5495,2013.0,106000.0,9636,4,64,Portsmouth,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202312194928628?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=20&postcode=E1%206AN&advertising-location=at_cars&fromsra,5495,2011.0,101000.0,7769,2,35,Southend On Sea,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202311033606359?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=9&postcode=E1%206AN&advertising-location=at_cars&fromsra,5500,2012.0,96039.0,8003,-1,109,Lye,1.6L,Automatic,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202307209865444?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=19&postcode=E1%206AN&advertising-location=at_cars&fromsra,5595,2012.0,68579.0,5714,-1,183,Blackburn,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403147555139?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=21&postcode=E1%206AN&advertising-location=at_cars&fromsra,5700,2012.0,92000.0,7666,3,182,Liverpool,1.6L,Automatic,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402216795361?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=18&postcode=E1%206AN&advertising-location=at_cars&fromsra,5790,2012.0,85063.0,7088,-1,184,Nelson,1.6L,Automatic,Diesel
