make,model,engine,trim,mileage,year,transmission,fuel,price,url
Toyota,Corolla,1.8,VVT-h GPF Icon Tech CVT (122 ps),38419,2021,Automatic,Hybrid,15666,www.cazoo.co.uk/car-details/2285b33d-195a-585b-9c11-ff3d8a8a9d98/
Toyota,Corolla,1.8,VVT-h Design CVT (122 ps),26191,2020,Automatic,Hybrid,16517,www.cazoo.co.uk/car-details/499b2158-dfc2-5451-922e-fe327e94cb44/
Toyota,Corolla,1.8,VVT-h Icon Tech CVT (122 ps),13734,2020,Automatic,Hybrid,16874,www.cazoo.co.uk/car-details/46572f7e-3398-5f1e-a1ba-741bbb774d8b/
Toyota,Corolla,1.8,VVT-h Excel CVT (122 ps),22522,2020,Automatic,Hybrid,17942,www.cazoo.co.uk/car-details/49d55b61-fcb4-5f4f-83b1-768b1a1a48e6/
Toyota,Corolla,1.8,VVT-h GPF GR SPORT CVT (122 ps),29691,2021,Automatic,Hybrid,18931,www.cazoo.co.uk/car-details/cce9084e-8cf6-501d-afa5-7b75eb2b9a18/
Toyota,Corolla,1.8,VVT-h Icon CVT (140 ps),6198,2022,Automatic,Hybrid,19301,www.cazoo.co.uk/car-details/de286558-34e7-58fc-adea-973258cfe86d/
Toyota,Corolla,1.8,VVT-h GPF Icon Tech Touring Sports CVT (122 ps),17241,2022,Automatic,Hybrid,20400,www.cazoo.co.uk/car-details/4f9d5494-b186-58c4-bb52-ffe7ef341e52/
Toyota,Corolla,1.8,VVT-h Design Touring Sports CVT (140 ps),13007,2023,Automatic,Hybrid,23196,www.cazoo.co.uk/car-details/a17a1f17-8c22-56e6-9538-f5538cc5f980/
Toyota,Corolla,1.8,VVT-h GR SPORT CVT (140 ps),5102,2023,Automatic,Hybrid,23559,www.cazoo.co.uk/car-details/dbf9e634-3a4e-575f-b765-b483ac78a6be/
Toyota,Corolla,1.8,VVT-h GR SPORT Touring Sports CVT (140 ps),19416,2023,Automatic,Hybrid,24130,www.cazoo.co.uk/car-details/37e36889-92fe-5792-adb4-9238595b561d/
Renault,Clio,0.9,TCe Iconic (90 ps),65889,2019,Manual,Petrol,8003,www.cazoo.co.uk/car-details/dbc6d34b-4f6f-5cf3-aa78-f11ef95e1db2/
Renault,Clio,1.0,TCe Iconic (100 ps),34396,2020,Manual,Petrol,10462,www.cazoo.co.uk/car-details/5ed29a98-c773-598c-b3fb-76e9bef1e8cb/
Renault,Clio,1.6,TCe Renaultsport Nav Trophy EDC (220 ps),26619,2016,Automatic,Petrol,13666,www.cazoo.co.uk/car-details/21a69f4a-6455-504d-8922-1c642cb6b402/
Toyota,Yaris,1.5,VVT-h Design E-CVT (100 ps),38794,2018,Automatic,Hybrid,12550,www.cazoo.co.uk/car-details/fde90655-31cf-5b4d-852f-4bc605df26e9/
Toyota,Yaris,1.5,VVT-h Design E-CVT (116 ps),7499,2020,Automatic,Hybrid,16900,www.cazoo.co.uk/car-details/a7504d44-67e1-507b-a36c-f017c2490d71/
Toyota,Yaris,1.5,VVT-h Launch Edition E-CVT (116 ps),22381,2021,Automatic,Hybrid,18029,www.cazoo.co.uk/car-details/2300e1c5-467a-5b90-8c41-9fc3f21eaaed/
